Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish


Thompson,items,Gun,New,M1A2 Thompson SMG,,,,,
ThompsonDesc,items,Gun,New,Old and legendary Automatic Submachine Gun that uses 45 ACP Ammo (.44 magnum ammo).\nHolding this weapon while wearing a full suit and a press cap will grant you the respect of those stingy traders and a big bonus buying and selling stuff\n\nRepair with a Repair Kit.\nScrap to Pistol Parts.,,,,,
Chaingun,items,Gun,New,M134 Minigun,,,,,
ChaingunDesc,items,Gun,New,This thing that uses 7.62mm Ammo doesn't need a description.\nIt's heavier than it looks.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
Flamethrower,items,Gun,New,Flamethrower,,,,,
FlamethrowerDesc,items,Gun,New,This is an anti-horde weapon that uses Gas Can as ammo\nLocated under Advanced Engineering\n\nRepair with a Repair Kit.\nScrap to Motor Tool Parts.,,,,,
Railgun,items,Gun,New,Railgun,,,,,
RailgunDesc,items,Gun,New,Hi-tech weapon that uses Iron Dart as ammo\nLocated under Electrocutioner\n\nRepair with a Car Battery.\nScrap to Stun Baton Parts.,,,,,
M82 Barrett,items,Gun,New,M82 Barrett Anti-Material Sniper Rifle,,,,,
M82Desc,items,Gun,New,Very Powerful Anti-Material Sniper Rifle that uses .50 BMG ammo.\nHigh dismember chance and massive damage.\nNeeds an 8X Scope to be used.\n\nRepair with a Repair Kit.\nScrap to Hunting Rifle Parts.,,,,,
AA12,items,Gun,New,AA-12 Automatic Shotgun,,,,,
AA12Desc,items,Gun,New,Very Fast Automatic Shotgun that uses all Shell Types.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,
M79GL40,items,Gun,New,M79 GL40 Grenade Launcher,,,,,
M79GL40Desc,items,Gun,New,Single Shot Grenade Launcher that uses 40mm Explosives\nLocated under Demolition Expert\n\nRepair with a Repair Kit.\nScrap to Rocket Launcher Parts.,,,,,

Mac10,items,Gun,New,Mac 10 SMG,,,,,
Mac10Desc,items,Gun,New,Weak but Very fast Automatic Submachine Gun that uses 9mm Ammo.\n\nRepair with a Repair Kit.\nScrap to Pistol Parts.,,,,,
VZ61 Skorpion,items,Gun,New,VZ61 Skorpion SMG,,,,,
SkorpionDesc,items,Gun,New,Small Automatic Pistol that uses 9mm Ammo.\n\nRepair with a Repair Kit.\nScrap to Pistol Parts.,,,,,
KRISS Vector,items,Gun,New,KRISS Vector SMG,,,,,
VectorDesc,items,Gun,New,Fast Automatic Submachine Gun that uses 9mm Ammo.\n\nRepair with a Repair Kit.\nScrap to Pistol Parts.,,,,,

Colt38,items,Gun,New,Colt 38 Special Pistol,,,,,
Colt38Desc,items,Gun,New,Weak but reliable small pistol that uses 9mm ammo.\n\nRepair with a Repair Kit.\nScrap to Scrap Iron.,,,,,
Beretta NANO,items,Gun,New,Beretta NANO Pistol,,,,,
NANODesc,items,Gun,New,Weak but reliable small pistol that uses 9mm ammo.\n\nRepair with a Repair Kit.\nScrap to Scrap Iron.,,,,,
Colt1911,items,Gun,New,Colt 1911 Pistol,,,,,
