Key,File,Type,UsedInMainMenu,NoTranslate,english

buffArmBracedName,buffs,Buff,,,Braced Arm
buffArmBracedDesc,buffs,Buff,,,"Your arm is in a sling, slowing your weapon handling, reload, and swing speeds. This will take some time to heal."
buffArmBracedTooltip,buffs,Buff,,,Having your arm in a sling will make the sprain heal faster, but affect its mobility more.

buffBoundLaceration,Buffs,Buff,,,Bound Laceration
buffBoundLacerationDesc,Buffs,Buff,,,You've wrapped the laceration tightly. The bleeding has stopped temporarily.

buffLegBracedName,buffs,Buff,,,Braced Leg
buffLegBracedDesc,buffs,Buff,,,Your leg is braced and slowing you down. You feel more comfortable with the brace on.
buffLegBracedTooltip,buffs,Buff,,,"Having your leg in a brace will make the sprain heal faster, but affect its mobility more."

buffDetoxName,buffs,Buff,,,Detox
buffDetoxDesc,buffs,Buff,,,You're mildly rejuvinated. You will lose a little less water over time.

buffDetoxDisplayName,buffs,Buff,,,Treated Withdrawal
buffDetoxDisplayDesc,buffs,Buff,,,Your cravings for drugs have diminished. Over time they should disappear.

buffWithdrawalPK01UntreatedName,buffs,Buff,,,Mild Painkillers Withdrawal
buffWithdrawalPK01UntreatedDesc,buffs,Buff,,, You're missing the feeling of Painkillers. Try to find more.
buffWithdrawalPK01UntreatedTooltip,buffs,Buff,,,You crave for more Painkillers.
buffWithdrawalPK01GetBetterName,buffs,Buff,,,Treated Mild Painkillers Withdrawal
buffWithdrawalPK01GetBetterDesc,buffs,Buff,,,Your cravings subside and you start to feel more normal.

buffWithdrawalPK02UntreatedName,buffs,Buff,,,Painkillers Withdrawal
buffWithdrawalPK02UntreatedDesc,buffs,Buff,,,You are suffering withdrawal from Painkillers. Find more or get a Detox to cure it.
buffWithdrawalPK02UntreatedTooltip,buffs,Buff,,,Withdrawal sets in. Find more Painkillers or Detox to alleviate.
buffWithdrawalPK02GetBetterName,buffs,Buff,,,Treated Painkillers Withdrawal
buffWithdrawalPK02GetBetterDesc,buffs,Buff,,,"As the effects of the treatment kick in, your nerves begin to calm."

buffWithdrawalPK03UntreatedName,buffs,Buff,,,Severe Painkillers Withdrawal
buffWithdrawalPK03UntreatedDesc,buffs,Buff,,,Being without Painkillers is unbearable. You need a fix now.
buffWithdrawalPK03UntreatedTooltip,buffs,Buff,,,Nothing matters but finding your fix.
buffWithdrawalPK03GetBetterName,buffs,Buff,,,Treated Severe Painkillers Withdrawal
buffWithdrawalPK03GetBetterDesc,buffs,Buff,,,Your normal is knowing that you have Painkillers flowing through your veins.

buffWithdrawalZZ01UntreatedName,buffs,Buff,,,Mild Steroids Withdrawal
buffWithdrawalZZ01UntreatedDesc,buffs,Buff,,, You're missing the feeling of Steroids. Try to find more.
buffWithdrawalZZ01UntreatedTooltip,buffs,Buff,,,You crave for more Steroids.
buffWithdrawalZZ01GetBetterName,buffs,Buff,,,Treated Mild Steroids Withdrawal
buffWithdrawalZZ01GetBetterDesc,buffs,Buff,,,Your cravings subside and you start to feel more normal.

buffWithdrawalZZ02UntreatedName,buffs,Buff,,,Steroids Withdrawal
buffWithdrawalZZ02UntreatedDesc,buffs,Buff,,,You are suffering withdrawal from Steroids. Find more or get a Detox to cure it.
buffWithdrawalZZ02UntreatedTooltip,buffs,Buff,,,Withdrawal sets in. Find more Steroids or Detox to alleviate.
buffWithdrawalZZ02GetBetterName,buffs,Buff,,,Treated Steroids Withdrawal
buffWithdrawalZZ02GetBetterDesc,buffs,Buff,,,"As the effects of the treatment kick in, your nerves begin to calm."

buffWithdrawalZZ03UntreatedName,buffs,Buff,,,Severe Steroids Withdrawal
buffWithdrawalZZ03UntreatedDesc,buffs,Buff,,,Being without Steroids is unbearable. You need a fix now.
buffWithdrawalZZ03UntreatedTooltip,buffs,Buff,,,Nothing matters but finding your fix.
buffWithdrawalZZ03GetBetterName,buffs,Buff,,,Treated Severe Steroids Withdrawal
buffWithdrawalZZ03GetBetterDesc,buffs,Buff,,,Your normal is knowing that you have Steroids flowing through your veins.

buffWithdrawalRG01UntreatedName,buffs,Buff,,,Mild Recog Withdrawal
buffWithdrawalRG01UntreatedDesc,buffs,Buff,,, You're missing the feeling of Recog. Try to find more.
buffWithdrawalRG01UntreatedTooltip,buffs,Buff,,,You crave for more Recog.
buffWithdrawalRG01GetBetterName,buffs,Buff,,,Treated Mild Recog Withdrawal
buffWithdrawalRG01GetBetterDesc,buffs,Buff,,,Your cravings subside and you start to feel more normal.

buffWithdrawalRG02UntreatedName,buffs,Buff,,,Recog Withdrawal
buffWithdrawalRG02UntreatedDesc,buffs,Buff,,,You are suffering withdrawal from Recog. Find more or get a Detox to cure it.
buffWithdrawalRG02UntreatedTooltip,buffs,Buff,,,Withdrawal sets in. Find more Recog or Detox to alleviate.
buffWithdrawalRG02GetBetterName,buffs,Buff,,,Treated Recog Withdrawal
buffWithdrawalRG02GetBetterDesc,buffs,Buff,,,"As the effects of the treatment kick in, your nerves begin to calm."

buffWithdrawalRG03UntreatedName,buffs,Buff,,,Severe Recog Withdrawal
buffWithdrawalRG03UntreatedDesc,buffs,Buff,,,Being without Recog is unbearable. You need a fix now.
buffWithdrawalRG03UntreatedTooltip,buffs,Buff,,,Nothing matters but finding your fix.
buffWithdrawalRG03GetBetterName,buffs,Buff,,,Treated Severe Recog Withdrawal
buffWithdrawalRG03GetBetterDesc,buffs,Buff,,,Your normal is knowing that you have Recog flowing through your veins.

buffWithdrawalFB01UntreatedName,buffs,Buff,,,Mild Fort Bites Withdrawal
buffWithdrawalFB01UntreatedDesc,buffs,Buff,,, You're missing the feeling of Fort Bites. Try to find more.
buffWithdrawalFB01UntreatedTooltip,buffs,Buff,,,You crave for more Fort Bites.
buffWithdrawalFB01GetBetterName,buffs,Buff,,,Treated Mild Fort Bites Withdrawal
buffWithdrawalFB01GetBetterDesc,buffs,Buff,,,Your cravings subside and you start to feel more normal.

buffWithdrawalFB02UntreatedName,buffs,Buff,,,Fort Bites Withdrawal
buffWithdrawalFB02UntreatedDesc,buffs,Buff,,,You are suffering withdrawal from Fort Bites. Find more or get a Detox to cure it.
buffWithdrawalFB02UntreatedTooltip,buffs,Buff,,,Withdrawal sets in. Find more Fort Bites or Detox to alleviate.
buffWithdrawalFB02GetBetterName,buffs,Buff,,,Treated Fort Bites Withdrawal
buffWithdrawalFB02GetBetterDesc,buffs,Buff,,,"As the effects of the treatment kick in, your nerves begin to calm."

buffWithdrawalFB03UntreatedName,buffs,Buff,,,Severe Fort Bites Withdrawal
buffWithdrawalFB03UntreatedDesc,buffs,Buff,,,Being without Fort Bites is unbearable. You need a fix now.
buffWithdrawalFB03UntreatedTooltip,buffs,Buff,,,Nothing matters but finding your fix.
buffWithdrawalFB03GetBetterName,buffs,Buff,,,Treated Severe Fort Bites Withdrawal
buffWithdrawalFB03GetBetterDesc,buffs,Buff,,,Your normal is knowing that you have Fort Bites flowing through your veins.

buffWithdrawalAJ01UntreatedName,buffs,Buff,,,Mild Atom Junkies Withdrawal
buffWithdrawalAJ01UntreatedDesc,buffs,Buff,,, You're missing the feeling of Atom Junkies. Try to find more.
buffWithdrawalAJ01UntreatedTooltip,buffs,Buff,,,You crave for more Atom Junkies.
buffWithdrawalAJ01GetBetterName,buffs,Buff,,,Treated Mild Atom Junkies Withdrawal
buffWithdrawalAJ01GetBetterDesc,buffs,Buff,,,Your cravings subside and you start to feel more normal.

buffWithdrawalAJ02UntreatedName,buffs,Buff,,,Atom Junkies Withdrawal
buffWithdrawalAJ02UntreatedDesc,buffs,Buff,,,You are suffering withdrawal from Atom Junkies. Find more or get a Detox to cure it.
buffWithdrawalAJ02UntreatedTooltip,buffs,Buff,,,Withdrawal sets in. Find more Atom Junkies or Detox to alleviate.
buffWithdrawalAJ02GetBetterName,buffs,Buff,,,Treated Atom Junkies Withdrawal
buffWithdrawalAJ02GetBetterDesc,buffs,Buff,,,"As the effects of the treatment kick in, your nerves begin to calm."

buffWithdrawalAJ03UntreatedName,buffs,Buff,,,Severe Atom Junkies Withdrawal
buffWithdrawalAJ03UntreatedDesc,buffs,Buff,,,Being without Atom Junkies is unbearable. You need a fix now.
buffWithdrawalAJ03UntreatedTooltip,buffs,Buff,,,Nothing matters but finding your fix.
buffWithdrawalAJ03GetBetterName,buffs,Buff,,,Treated Severe Atom Junkies Withdrawal
buffWithdrawalAJ03GetBetterDesc,buffs,Buff,,,Your normal is knowing that you have Atom Junkies flowing through your veins.

buffWithdrawalCC01UntreatedName,buffs,Buff,,,Mild Covert Cats Withdrawal
buffWithdrawalCC01UntreatedDesc,buffs,Buff,,, You're missing the feeling of Covert Cats. Try to find more.
buffWithdrawalCC01UntreatedTooltip,buffs,Buff,,,You crave for more Covert Cats.
buffWithdrawalCC01GetBetterName,buffs,Buff,,,Treated Mild Covert Cats Withdrawal
buffWithdrawalCC01GetBetterDesc,buffs,Buff,,,Your cravings subside and you start to feel more normal.

buffWithdrawalCC02UntreatedName,buffs,Buff,,,Covert Cats Withdrawal
buffWithdrawalCC02UntreatedDesc,buffs,Buff,,,You are suffering withdrawal from Covert Cats. Find more or get a Detox to cure it.
buffWithdrawalCC02UntreatedTooltip,buffs,Buff,,,Withdrawal sets in. Find more Covert Cats or Detox to alleviate.
buffWithdrawalCC02GetBetterName,buffs,Buff,,,Treated Covert Cats Withdrawal
buffWithdrawalCC02GetBetterDesc,buffs,Buff,,,"As the effects of the treatment kick in, your nerves begin to calm."

buffWithdrawalCC03UntreatedName,buffs,Buff,,,Severe Covert Cats Withdrawal
buffWithdrawalCC03UntreatedDesc,buffs,Buff,,,Being without Covert Cats is unbearable. You need a fix now.
buffWithdrawalCC03UntreatedTooltip,buffs,Buff,,,Nothing matters but finding your fix.
buffWithdrawalCC03GetBetterName,buffs,Buff,,,Treated Severe Covert Cats Withdrawal
buffWithdrawalCC03GetBetterDesc,buffs,Buff,,,Your normal is knowing that you have Covert Cats flowing through your veins.

buffWithdrawalEK01UntreatedName,buffs,Buff,,,Mild Eye Kandy Withdrawal
buffWithdrawalEK01UntreatedDesc,buffs,Buff,,, You're missing the feeling of Eye Kandy. Try to find more.
buffWithdrawalEK01UntreatedTooltip,buffs,Buff,,,You crave for more Eye Kandy.
buffWithdrawalEK01GetBetterName,buffs,Buff,,,Treated Mild Eye Kandy Withdrawal
buffWithdrawalEK01GetBetterDesc,buffs,Buff,,,Your cravings subside and you start to feel more normal.

buffWithdrawalEK02UntreatedName,buffs,Buff,,,Eye Kandy Withdrawal
buffWithdrawalEK02UntreatedDesc,buffs,Buff,,,You are suffering withdrawal from Eye Kandy. Find more or get a Detox to cure it.
buffWithdrawalEK02UntreatedTooltip,buffs,Buff,,,Withdrawal sets in. Find more Eye Kandy or Detox to alleviate.
buffWithdrawalEK02GetBetterName,buffs,Buff,,,Treated Eye Kandy Withdrawal
buffWithdrawalEK02GetBetterDesc,buffs,Buff,,,"As the effects of the treatment kick in, your nerves begin to calm."

buffWithdrawalEK03UntreatedName,buffs,Buff,,,Severe Eye Kandy Withdrawal
