Key,english,russian
perkZombieTrackerName,Spider Sense,Паучье чутье
perkZombieTrackerDesc,"In the process of mutation you will learn to detect and track zombies within a radius of 20 meters.","В процессе мутации вы научитесь чувствовать и отслеживать зомби в радиусе 20 м."
perkZombieTrackerRank1Desc,Spideman,Человек Паук
perkZombieTrackerRank1LongDesc,"You have learned to feel zombie animals.","Вы научились чувствовать зомбированных животных."
perkZombieTrackerRank2Desc,Hitman,Хитман
perkZombieTrackerRank2LongDesc,"You can now feel the weak zombies. They will no longer be able to attack you suddenly.","Теперь вы можете чувствовать слабых зомби. Они больше не смогут внезапно напасть на вас."
perkZombieTrackerRank3Desc,Wild,Дикий
perkZombieTrackerRank3LongDesc,"They feel you, you feel them... Wild zombies will no longer be a surprise.","Они чувствуют вас, вы - чувствуете их... Дикие зомби больше не станут неожиданостью."
perkZombieTrackerRank4Desc,Assassin,Ассасин
perkZombieTrackerRank4LongDesc,"You are a killing machine. You can feel even the strongest radiated zombies.","Вы - машина для убийства. Можете чувствовать даже самых сильних радиационных зомби."
buffZombieTrackerName,Spider Sense,Паучье чутье
buffZombieTrackerDesc,"You are looking for a zombie around","Вы ищете зомби рядом"
buffZombieTrackerAcquiredDesc,"You feel someone...","Вы чувствуете кого-то..."
buffZombieTrackerNoneTooltip,"It's pretty quiet here. I don't feel anything.","Здесь относительно спокойно. Никого не чувствую."
buffZombieTrackerLostTooltip,"Can't feel it anymore...","Больше не могу это чувствовать..."
